cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;año_De_registro;produccion_por tipo;cantidad_de_producciones;produce_la_materia_prima
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2013;EMBUTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2013;MERMELADAS;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2013;PANIFICADOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2014;EMBUTIDOS;4;2
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2014;LECHE;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2015;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2015;PANIFICADOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2016;BEBIDAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2016;EMBUTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2016;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2009;HARINAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2009;PANIFICADOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;77;ARRECIFES;2009;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2010;LEÑA;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2010;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2011;CONSERVAS;8;8
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2011;MADERA - ASERRADO;8;8
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2016;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2016;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2016;MADERA - ASERRADO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2016;PANIFICADOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;AROMATICAS - FRACCIONAMIENTO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;BEBIDAS;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;CONFITURAS;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;DULCES;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;PANIFICADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2012;CONSERVAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2012;MIEL - FRACCIONAMIENTO;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2011;BEBIDAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2011;MIEL - FRACCIONAMIENTO;5;5
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2011;OTROS PRODUCTOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2011;VINIFICACIÓN;7;7
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2012;ADEREZOS;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2012;CONSERVAS;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2012;DULCES;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2012;ENCURTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2012;VINIFICACIÓN;4;4
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2013;MIEL - FRACCIONAMIENTO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2011;CHACINADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2011;OTROS PRODUCTOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2013;CHACINADOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2013;EMBUTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2013;OTROS PRODUCTOS;6;5
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2013;QUESOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2014;QUESOS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2010;CHACINADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2010;DULCES;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2010;EMBUTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2010;MERMELADAS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;CHACINADOS;4;3
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;CONFITURAS;3;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;CONSERVAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;DULCES;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;ENCURTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;FRUTAS - DESHIDRATADO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;JALEAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;OTROS PRODUCTOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;PANIFICADOS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2013;POSTES;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2012;OTROS PRODUCTOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2011;MERMELADAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2011;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2012;FRUTAS - DESHIDRATADO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;JALEAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;LEÑA;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;MADERA - ASERRADO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;MIEL - FRACCIONAMIENTO;7;4
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;OTROS PRODUCTOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;PANIFICADOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;POSTES;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2010;LACTEOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2011;LACTEOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;ABONO ORGÁNICO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;CHACINADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;CONSERVAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;DULCES;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;EMBUTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;ENCURTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;LACTEOS;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;LECHE;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;PANIFICADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2013;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2013;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2013;ENCURTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2013;LACTEOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2013;LECHE;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2013;MERMELADAS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2014;BEBIDAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2014;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2014;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2015;LACTEOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2015;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2012;MIEL - FRACCIONAMIENTO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2012;OTROS PRODUCTOS;6;4
32;Argentina;CENTRO;6;BUENOS AIRES;161;CARMEN DE ARECO;2014;BEBIDAS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2010;EMBUTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2013;HORTALIZAS - FRACCIONAMIENTO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L ROSALES;2010;ENCURTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L ROSALES;2012;LACTEOS;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L ROSALES;2013;CONSERVAS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2015;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2012;LACTEOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;ACEITES ESENCIALES;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;BEBIDAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;CONSERVAS;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;DULCES;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;EMBUTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;MERMELADAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;PANIFICADOS;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2012;LACTEOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2010;DULCES;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2010;JALEAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2010;LADRILLERIA;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2010;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2010;POSTES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2013;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2015;LADRILLERIA;18;18
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2015;PANIFICADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;CHACINADOS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;CONFITURAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;LEÑA;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;PANIFICADOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;QUESOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2014;CONSERVAS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2014;MERMELADAS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2014;PANIFICADOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2011;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2012;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2013;QUESOS;3;2
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;2011;VINIFICACIÓN;1;0
