cod_pais;nom_pais;Region;cod_provincia;nom_provincia;cod_depto;nom_depto;año_del_dato;Cantidad_de_nafs;nafs_ con red eléctrica;naf_con_acceso_a_caminos_y_rutas_cercanas;naf_con_acceso_a_agua_de_red_pública_ (agua corriente)
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2013;17;8;9;0
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2014;10;8;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2015;6;5;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2016;4;3;4;2
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2017;3;3;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;Sin dato;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2009;5;5;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2010;31;20;24;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2011;38;27;31;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2012;24;16;20;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2013;36;16;27;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2014;34;27;26;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2015;19;15;10;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2016;15;12;13;1
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2017;21;19;6;11
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;Sin dato;1;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2009;20;8;17;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2010;17;8;16;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2011;11;11;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2012;27;14;21;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2013;5;4;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2014;11;8;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2015;10;5;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2016;7;7;7;3
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2017;4;1;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;Sin dato;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2010;1;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2011;28;26;21;0
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2014;16;10;15;0
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2015;5;4;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2016;14;9;8;3
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2017;12;12;11;10
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2009;52;42;42;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;42;30;18;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2011;184;115;155;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2012;55;35;35;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2013;30;22;19;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2014;8;6;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2015;49;37;29;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2016;58;58;24;4
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2017;65;65;18;9
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;Sin dato;53;45;35;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2010;5;5;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2011;25;22;23;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2012;16;14;14;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2013;3;3;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2014;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2015;5;3;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2016;3;3;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2017;5;5;3;4
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;Sin dato;1;1;1;0
