cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;a¤o_del_dato;Integrantes_del_naf_con_obra_social;integrantes_del_naf_con_prepaga;integrantes_del_naf_con_sistema_p£blico_de_salud;integrantes_del_naf_sin_cobertura_medica
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2013;9;0;46;4
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2014;12;0;10;0
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2015;10;0;7;1
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2016;2;0;0;4
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;56;BAHIA BLANCA;Sin dato;5;0;1;4
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2009;0;0;9;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2010;18;0;70;7
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2011;20;1;54;54
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2012;22;3;49;7
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2013;17;10;94;21
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2014;30;1;57;15
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2015;7;8;33;12
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2016;8;0;34;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;63;BALCARCE;Sin dato;0;0;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2009;11;0;40;14
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2010;23;0;25;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2011;7;3;19;9
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2012;21;13;22;19
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2013;12;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2014;11;0;10;7
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2015;18;11;13;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2016;4;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;70;BARADERO;Sin dato;1;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2010;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2011;24;1;60;7
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2014;2;0;41;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2015;0;0;13;3
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2016;9;0;26;1
32;Argentina;CENTRO;6;BUENOS AIRES;84;BENITO JUAREZ;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2009;40;2;90;39
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2010;36;0;113;9
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2011;128;5;519;30
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2012;49;4;95;21
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2013;40;3;56;15
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2014;13;1;6;7
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2015;55;9;73;20
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2016;1;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;91;BERAZATEGUI;Sin dato;40;2;91;44
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2010;8;0;18;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2011;22;0;67;10
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2012;10;0;29;8
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2013;2;0;18;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2014;2;0;0;1
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2015;2;1;3;5
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;98;BERISSO;Sin dato;0;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2009;8;0;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2010;28;0;168;10
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2011;14;0;2;19
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2012;17;1;34;10
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2013;40;1;55;8
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2014;26;0;72;12
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2015;46;27;65;35
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2009;4;0;17;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2010;22;0;114;2
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2011;7;0;24;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;82;9;240;27
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2013;4;0;20;2
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2015;0;0;9;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2017;0;0;0;0
