cod_pais,nom_pais,region,cod_provincia,nom_provincia,cod_depto,nom_depto,año_de_registro,Cant_de_naf,integ_del_NAF,sin_educacion_formal,educacion_inicial,educacion_primaria,educacion_secundaria,educacion_cens,educacion_superior,educacion_especial
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2011,11,32,10,2,13,6,0,1,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2012,16,39,7,7,15,4,3,1,2
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2013,31,83,20,3,46,9,1,1,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2014,34,103,23,0,61,11,0,4,1
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2015,30,82,12,1,44,21,0,2,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2016,2,5,0,0,2,2,0,1,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2017,27,71,11,0,44,15,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2010,12,37,3,1,24,8,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2011,168,555,35,50,256,162,5,20,2
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2012,151,532,30,46,271,158,3,23,0
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2013,7,24,0,2,15,7,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2014,2,4,0,0,4,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2015,11,47,3,1,21,17,1,3,0
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2016,1,4,0,1,2,1,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,588,9 DE JULIO,2017,2,4,0,0,2,0,0,2,0
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2010,45,181,22,33,74,42,1,7,2
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2011,87,301,39,17,202,33,0,8,2
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2012,164,510,53,50,268,115,0,21,2
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2013,104,327,27,22,179,73,0,22,0
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2014,48,173,9,19,80,35,1,5,0
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2015,10,33,2,2,14,3,0,1,0
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2016,41,159,12,10,86,26,0,2,0
32,Argentina,CENTRO,82,SANTA FE,77,9 DE JULIO,2017,28,79,3,1,53,18,0,4,0
