cod_pais;nom_pais;region;cod_provincia;nom_provincia;cod_depto;nom_depto;Cant_de_naf;año_de_registro;integ_del_NAF;integ_menores_de_edad;integ_mayores_de_edad;integ_que_trabajan_en_el_predio;cant_de_mujeres_integrantes_del_NAF;cant_de_varones_integrantes_del_NAF
32;Argentina;PATAGONIA;62;RIO NEGRO;91;25 DE MAYO;30;2015;82;22;60;55;32;50
32;Argentina;PATAGONIA;62;RIO NEGRO;91;25 DE MAYO;2;2016;5;1;4;4;2;3
32;Argentina;PATAGONIA;62;RIO NEGRO;91;25 DE MAYO;27;2017;71;24;47;10;35;34
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;12;2010;37;12;25;17;19;18
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;168;2011;555;215;340;274;263;292
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;151;2012;532;206;326;324;267;265
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;7;2013;24;6;18;18;14;10
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2;2014;4;1;3;3;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;11;2015;47;17;30;23;25;22
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;1;2016;4;3;1;1;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2;2017;4;0;4;0;2;2
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;45;2010;181;81;100;111;92;89
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;87;2011;301;152;149;172;146;155
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;164;2012;510;192;318;320;255;255
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;104;2013;327;109;218;204;156;171
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;48;2014;173;74;99;97;74;99
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;10;2015;33;10;23;19;15;18
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;41;2016;159;56;103;79;81;78
32;Argentina;CENTRO;82;SANTA FE;77;9 DE JULIO;28;2017;79;20;59;9;38;40
32;Argentina;CUYO;70;SAN JUAN;63;9 DE JULIO;10;2010;31;10;21;19;15;16
32;Argentina;CUYO;70;SAN JUAN;63;9 DE JULIO;5;2011;10;4;6;7;6;4
32;Argentina;CUYO;70;SAN JUAN;63;9 DE JULIO;10;2012;36;8;28;24;17;19
32;Argentina;CUYO;70;SAN JUAN;63;9 DE JULIO;26;2013;104;33;71;64;48;56
32;Argentina;CUYO;70;SAN JUAN;63;9 DE JULIO;2;2014;4;1;3;2;1;3
32;Argentina;CUYO;70;SAN JUAN;63;9 DE JULIO;1;2015;4;0;4;4;3;1
32;Argentina;CUYO;70;SAN JUAN;63;9 DE JULIO;2;2017;2;0;2;0;0;2
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;36;2009;143;63;80;101;67;76
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;16;2010;87;40;47;64;40;47
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;14;2011;46;17;29;35;26;20
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;11;2012;45;20;25;31;23;22
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;7;2013;27;8;19;22;16;11
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;21;2014;92;39;53;68;51;41
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;20;2015;67;19;48;48;33;34
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;2;2016;8;0;8;6;3;5
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;4;2017;12;3;9;0;4;8
32;Argentina;NEA;22;CHACO;105;9 DE JULIO;1;Sin dato;2;0;2;2;1;1
32;Argentina;PATAGONIA;62;RIO NEGRO;49;9 DE JULIO;44;2010;154;58;96;76;84;70
32;Argentina;PATAGONIA;62;RIO NEGRO;49;9 DE JULIO;4;2011;15;3;12;12;7;8
32;Argentina;PATAGONIA;62;RIO NEGRO;49;9 DE JULIO;12;2014;25;8;17;17;14;11
32;Argentina;PATAGONIA;62;RIO NEGRO;49;9 DE JULIO;2;2015;3;0;3;3;1;2
32;Argentina;PATAGONIA;62;RIO NEGRO;49;9 DE JULIO;31;2017;81;23;58;16;44;37
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2;2011;6;0;6;6;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;1;2012;1;0;1;1;0;1
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;9;2013;19;4;15;11;8;11
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;1;2014;1;0;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;34;2016;77;22;55;14;33;44
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;51;2017;87;14;73;5;40;44
